STDW-21,Starołęka Dworzec,A,52.3668085147,16.9304037094
RADW-22,Rataje Dworzec,A|N,52.3968153232,16.9500589371
OJAG-21,Os.Jagiellońskie,A|N,52.3932538182,16.9576442242
LIII-21,Os. Lecha III,A|N,52.3878291726,16.9679546356
KRUS-21,Krzywoustego n/ż,A|N,52.3839689855,16.9713288546
OCZ-22,Os. Czecha,A|N,52.3872464009,16.9776749611
PIAS-21,Piaśnicka,A|N,52.3894563089,16.9797724485
OT I-21,Os. Tysiąclecia I,A|N,52.3932800068,16.9810116291
CHAR-21,Chartowo,A|N,52.3956434626,16.9841980934
BIGO-21,Biała Góra,A|N,52.3938037752,16.9913434982
ZELA-21,Żelazna,A|N,52.3918788957,16.9997870922
PRZM-21,Os. Przemysława,A|N,52.3919312745,17.010923624
PIWN-24,Piwna,A,52.3921538836,17.0146250725
KOBY-22,Kobylepole n/ż,A,52.3909098769,17.0189487934
LOKO-22,Lokomotywownia,A,52.3885363458,17.0259600878
DARZ-22,Darzybór,A,52.3881205555,17.0294201374
BORO-22,Borówki n/ż,A,52.3898884557,17.0322740078
ZYNA-22,Żywiczna n/ż,A,52.3909098769,17.0346558094
NAST-22,Nastawnia,A,52.3948381997,17.0377135277
SWSZ-21,Swarzędz/Szumana,A,52.3986025142,17.0464092493
SWPR-21,Swarzędz/Przybylskiego,A,52.4015744592,17.0554322004
SWCE-21,Swarzędz/Os. Cegielskieg,A,52.401024599,17.0591926575
SWRA-21,Swarzędz/Os. Raczyńskieg,A,52.3999117657,17.0633500814
SWGR-21,Swarzędz/Graniczna,A,52.3980100651,17.0702970028
ZAPL-21,Zalasewo/Planetarna,A,52.3917544958,17.0687198639
ZAPL-22,Zalasewo/Planetarna,A,52.3918134221,17.0689880848
SWGR-22,Swarzędz/Graniczna,A,52.3981409938,17.0702433586
SWRA-22,Swarzędz/Os. Raczyńskieg,A,52.4000165042,17.0634949207
SWCE-22,Swarzędz/Os. Cegielskieg,A,52.4011686106,17.0592194796
SWPR-22,Swarzędz/Przybylskiego,A,52.4017053773,17.0555448532
SWSZ-22,Swarzędz/Szumana,A,52.398386484,17.0453417301
NAST-21,Nastawnia,A,52.3949756846,17.0377242565
BORO-21,Borówki n/ż,A,52.3900259561,17.0321238041
DARZ-21,Darzybór,A,52.387996145,17.0287871361
LOKO-21,Lokomotywownia,A,52.3886836721,17.0260190964
KOBY-21,Kobylepole n/ż,A,52.3909753518,17.0188951492
PIWN-23,Piwna,A,52.3921342417,17.0148289204
PRZM-22,Os. Przemysława,A|N,52.3920163898,17.0107841492
ZELA-22,Żelazna,A|N,52.3920229372,17.0000338554
BIGO-22,Biała Góra,A|N,52.3941114863,16.9903242588
CHAR-23,Chartowo,A|N,52.3956761966,16.9824278355
OT I-22,Os. Tysiąclecia I,A|N,52.3936793808,16.9809687138
PIAS-24,Piaśnicka,A|N,52.3895348813,16.9791930914
OCZ-21,Os. Czecha,A|N,52.3872365788,16.9769239426
LIII-22,Os. Lecha III,A|N,52.3879273917,16.9686198235
OJAG-22,Os.Jagiellońskie,A|N,52.3934502322,16.9580948353
RADW-21,Rataje Dworzec,A|N,52.3966189241,16.9499623775
TORO-21,Torowa n/ż,A,52.3697989772,16.9883716106
LUGA-21,Ługańska,A,52.3713055957,16.9945836067
WIEP-21,Wieprawska,A,52.369048924,17.000130415
SZWO-21,Szczepankowo,A,52.3646204029,17.0093035698
OLIW-21,Oliwkowa,A,52.3598900425,17.0191848278
GOSP-21,Gospodarska,A,52.3547987702,17.0280253887
SPLA-21,Spławie,A,52.3515156697,17.024731636
SPLA-22,Spławie,A|N,52.3515615431,17.0247745514
GOSP-22,Gospodarska,A|N,52.3548708515,17.0282292366
OLIW-22,Oliwkowa,A|N,52.3596214057,17.0200753212
SZWO-22,Szczepankowo,A|N,52.3645614403,17.0097970963
WIEP-22,Wieprawska,A|N,52.3688327491,17.0010209084
LUGA-22,Ługańska,A|N,52.3714922819,16.9954204559
SRDW-22,Śródka Dworzec,A,52.4093895881,16.9546186924
BAKA-23,Baraniaka,A|N,52.4033483662,16.9556647539
KATO-21,Katowicka n/ż,A|N,52.402104675,16.9623327255
WOLK-21,Wołkowyska,A|N,52.3999674081,16.9693654776
WIAN-21,Wiankowa,A|N,52.3983995767,16.9749820232
PIWN-21,Piwna,A|N,52.3927464113,17.0151883364
MLYN-21,Młyn n/ż,A|N,52.3993553386,17.0186161995
ZIEM-21,Ziemowita,A|N,52.4041240189,17.0217812061
SOBI-21,Sobiesława,A|N,52.4059665487,17.0237338543
SWIA-21,Światopełka,A|N,52.4085976657,17.0249140263
MILO-22,Miłostowo,A|N,52.4104694593,17.0031988621
PUST-22,Pusta,A|N,52.4102273087,16.995742321
LOMZ-22,Łomżyńska,A|N,52.4099066206,16.9867622852
KRAN-21,Krańcowa,A,52.4087547423,16.9808721542
CZEK-21,Czekalskie,A,52.4043302028,16.9850242138
KRNZ-21,Krańcowa n/ż,A,52.4026152472,16.98985219
ZOO-21,Nowe Zoo,A,52.4004158172,16.9936823845
MOGI-21,Mogileńska,A|N,52.4078646339,16.9940900803
ZOO-22,Nowe Zoo,A,52.4003438102,16.9936072826
KRNZ-22,Krańcowa n/ż,A,52.4026152472,16.9898092747
CZEK-22,Czekalskie,A,52.4048800218,16.984487772
KRAN-22,Krańcowa,A,52.4089707218,16.9811189175
LOMZ-21,Łomżyńska,A|N,52.4096710116,16.985861063
MOGI-22,Mogileńska,A|N,52.4078646339,16.9940900803
PUST-21,Pusta,A|N,52.409998246,16.9956457615
MILO-21,Miłostowo,A|N,52.410273121,17.0032954216
BONY-21,Bożeny,A|N,52.4106952472,17.0161271095
SWIA-22,Światopełka,A|N,52.4078908139,17.0247101784
SOBI-22,Sobiesława,A|N,52.4060320013,17.0235514641
ZIEM-22,Ziemowita,A|N,52.4037214667,17.0209980011
MLYN-22,Młyn n/ż,A|N,52.3992636911,17.0184981823
PIWN-22,Piwna,A|N,52.3927300432,17.0150434971
CHAR-22,Chartowo,A|N,52.3964094309,16.9823849201
WIAN-22,Wiankowa,A|N,52.398674524,16.9749498367
WOLK-22,Wołkowyska,A|N,52.400101604,16.9697356224
KATO-22,Katowicka n/ż,A|N,52.4023795992,16.9623756409
BAKA-22,Baraniaka,A|N,52.404192747,16.9545221329
ROSR-24,Rondo Śródka,A|N,52.4094910316,16.9558954239
SRDW-21,Śródka Dworzec,A,52.4093830433,16.9546508789
GORC-22,Górczyn,A|N,52.3819716401,16.8817698956
BOJA-21,Bojanowska,A,52.3763916913,16.8722909689
GOST-21,Gostyńska,A,52.3743547034,16.868519783
WYKO-21,Wykopy,A,52.3704573103,16.8634396791
FABI-21,Fabianowo,A,52.3652165759,16.8572759628
NOKO-21,Nowe Kotowo,A,52.3610497483,16.8538212776
CEDZ-21,Cedzyńska,A,52.3674767188,16.8493580818
WOLO-21,Wołowska,A,52.3702051142,16.8431299925
KOWA-22,Kowalewicka,A,52.3686427764,16.8462413549
CEDZ-22,Cedzyńska,A,52.3670574547,16.8499588966
KOTO-21,Kotowo,A,52.3584354531,16.8536710739
URAD-21,Uradzka,A,52.355952057,16.8584990501
PONI-21,Poniatowskiego,A,52.3522824036,16.8655049801
RZAB-21,Rynek Żabikowo,A,52.3493726762,16.8606555462
LUZA-21,Luboń Żabikowo,A,52.3453747653,16.8556451797
LUZA-22,Luboń Żabikowo,A,52.3453813196,16.8556022644
RZAB-22,Rynek Żabikowo,A,52.3490908681,16.8604302406
PONI-22,Poniatowskiego,A,52.3522561907,16.8656766415
URAD-22,Uradzka,A,52.3555064725,16.8599152565
KOTO-22,Kotowo,A,52.3587434107,16.8536603451
TYNZ-22,Tyniecka n/ż,A,52.3615738992,16.8553447723
FABI-22,Fabianowo,A,52.3649872795,16.8575012684
WYKO-22,Wykopy,A,52.3701821872,16.8632411957
GOST-22,Gostyńska,A,52.3742237042,16.8688631058
BOJA-22,Bojanowska,A,52.3764244396,16.8729186058
GORC-21,Górczyn,A|N,52.381955268,16.8817806244
DWOR-21,Dworcowa,A|N,52.4069810527,16.9134092331
ZAME-21,Zamek,A,52.4090688939,16.9182050228
URWO-21,Urząd Wojewódzki,A,52.4113987819,16.9193530083
SOLN-21,Solna,A|N,52.4116605593,16.9288265705
MAGA-21,Małe Garbary,A,52.411686737,16.9389760494
