247,A|N,RADW-22|RRAT-21|OPIA-21|ORZE-21|RSTA-21|STOM-21|BYST-21|STAR-01|SWAN-21|ZEGL-21|DZIE-21|STAW-21|TARN-21|STWI-21|STRZ-21|OZAR-21|GLUS-21|DASZ-21|BL I-21|BLII-21|PIOT-21|SYPN-21
247,A|N,SYPN-22|PIOT-22|BLII-22|BL I-22|DASZ-22|GLUS-22|OZAR-22|STRZ-22|STWI-22|TARN-22|CZER-22|STAW-22|DZIE-22|ZEGL-22|SWAN-22|STAR-02|BYST-22|STOM-22|RSTA-22|ORZE-22|OPIA-22|RADW-21
246,A|N,RKAP-21|RKAP-22|MT-02|RJEZ-03|KOSC-21|JEZY-21|NADW-21|SLAS-21|UP-21|WOPO-23|WRZO-21|TROJ-21|PIAT-23|ROOB-22|LU I-21|LUII-21|PESK-22|GOKA-21|LINZ-21|HEZJ-21|LITE-21
246,A|N,LITE-22|HEZJ-22|LINZ-22|GOKA-22|PESK-21|LUII-22|LU I-22|ROOB-21|PIAT-22|TROJ-22|WRZO-22|WIWI-21|WIKL-21|WOPO-22|UP-22|SLAS-22|NADW-22|JEZY-22|KOSC-22|RJEZ-04|RKAP-27
241,A|N,MOGI-22|LOMZ-22|NOVO-22|ROSR-24|BAKA-23|KATO-21|WOLK-21|WIAN-21|CHAR-23|OT I-22|KURL-22|OSZO-22|RUSA-22|P K-23|PIAR-21|PIAS-22|OCZ-21|ZIII-21|Z II-21|Z I-21|OBII-21|OBOD-21|WARO-21|OKOP-21|FORT-21|STAR-21
241,A|N,STAR-22|FORT-22|OKOP-22|WARO-22|OBOD-22|OB I-23|OBII-22|Z I-22|Z II-22|ZIII-22|KRUS-21|OCZ-22|PIAS-23|PIAR-22|RUSA-21|OSZO-21|KURL-21|OT I-21|CHAR-22|WIAN-22|WOLK-22|KATO-22|BAKA-22|ROSR-21|NOVO-21|LOMZ-21|MOGI-21
240,A|N,DWGL-22|DWOR-21|BALT-21|SZYL-21|POLN-21|GROD-21|SZPI-21|BRZA-21|MARC-21|RYCE-21|MARS-21|BULG-23|JUGO-21|OSKO-21|KACZ-23|KACZ-21
240,A|N,KACZ-22|KACZ-24|OSKO-22|JUGO-22|BULG-24|MARS-22|RYCE-22|MARC-24|BRZA-22|SZPI-22|GROD-22|POLN-22|SZYL-22|RKAP-23|DWOR-22|DWGL-21
243,A|N,OSDE-22|SAMO-22|AZAL-22|LOZO-22|DOWI-22|PINZ-22|WSPO-21|HCP-02|TRAU-02|KOSI-02|RYWI-02|SWCZ-02|SKLA-21|ZAME-23|DWOR-22|DWGL-21
243,A|N,DWGL-22|DWOR-21|SKLA-22|NIEZ-22|SWCZ-01|RYWI-01|KOSI-01|TRAU-01|HCP-01|WSPO-01|DOWI-21|LOZO-21|AZAL-21|OSDE-21
242,A|N,DWGL-22|DWOR-21|BALT-21|SZYL-21|POLN-21|GROD-21|SZPI-21|BRZA-21|MARC-21|RYCE-21|OGNI-22|JASN-21|ZGOR-21|LESK-21|EDWA-21|BRZE-21|WIEC-21|OBA-21|PLL-21
242,A|N,PLL-22|PERZ-21|LAWI-22|MALE-22|OBA-22|WIEC-22|BRZE-22|EDWA-22|LESK-22|ZGOR-22|JASN-22|OGNI-21|RYCE-22|MARC-24|BRZA-22|SZPI-22|GROD-22|POLN-22|SZYL-22|RKAP-23|DWOR-22|DWGL-21
249,A|N,GORC-22|RAKO-21|RAKO-23|LESZ-22|SMIE-22|KOZM-22|BUCZ-22|OKUL-22|SWIE-22|KORF-22|BEDZ-22|CIES-22|DEEC-21
249,A|N,DEEC-22|PRCZ-22|GORC-21
248,A|N,SODW-22|SZYM-21|OPIE-21|OSBA-22|ORP-21|ORP-23|OSBA-24|OSBI-22|STRU-22|STOI-22|KULY-22|OSLO-22|RUBI-21|BRON-21|BURY-21|MAPO-21|KRES-21|RUMA-21|DUNZ-21|UMTA-21|LOPI-21|LUGO-21|RADO-21
